 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est
227,28.462198,5.6026297,2.8888888,1.5696297,0.07165042
228,32.50228,7.445557,3.25,1.6275,0.09869752
229,33.175587,7.326504,3.25,1.5686111,0.08899857
230,30.491943,6.404477,2.8888888,1.4288889,0.04345419
231,30.5802,7.2014594,3,1.4741668,0.061826915
232,63.503777,36.29682,4.6,1.5581818,0.20751853
233,63.19688,36.377953,4.6,1.7509091,0.24335162
234,62.97215,36.38752,4.6,1.7842424,0.22023039
235,62.725883,36.30656,4.6,1.7842424,0.22023039
236,37.90314,13.380063,4,1.7800001,0.14817071
237,35.752144,10.235997,3.4285715,1.654762,0.107957855
238,36.01727,9.96138,3.4285715,1.6845238,0.10568719
239,34.88372,9.028619,3.2857144,1.6559525,0.14033149
240,34.991844,10.010261,3.5,1.6986113,0.0970534
241,35.653053,9.161677,3.6666667,1.708642,0.10640817
242,35.55937,8.895631,3.6666667,1.7172841,0.101482205
243,35.559406,10.250202,4,1.8607409,0.121778645
244,35.1653,10.093337,4,1.8740742,0.13461298
245,38.178143,13.909663,4.2,2.014074,0.20040312
246,37.130432,13.934683,4.2,2.0407407,0.16269073
247,36.138176,13.990842,4.2,2.0407407,0.16269073
248,35.24051,14.095166,4.2,2.0220742,0.22112417
249,34.53191,14.220843,4.2,2.036889,0.23008272
250,33.997044,14.400185,4.2,1.982963,0.23441605
251,33.588158,14.575073,4.2,2.008741,0.24043047
252,33.561455,14.94739,4.2,2.0324445,0.25065643
253,33.319954,15.020317,4.2,2.0111113,0.23927315
254,33.459366,15.084332,4.2,2.0155556,0.22262494
255,33.597923,15.373172,4.2,2.1133332,0.14135006
256,33.97643,15.707149,4.2,2.048889,0.1279433
257,52.69882,28.588408,5.25,2.0083332,0.23437549
258,52.924667,29.127266,5.25,1.9625001,0.2082956
259,33.461353,11.901216,4.2,1.8130372,0.25930357
260,34.169605,11.484691,4.2,1.7757038,0.123570606
261,34.554325,9.2280655,3.8333333,1.5797533,0.16964217
