 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est
417,24.299812,1.395475,2.1,1.0600001,0.028284272
418,24.032705,1.3175561,2.1,1.0600001,0.028284272
419,24.231932,1.2406223,2.1,1.0600001,0.028284272
420,26.273754,1.4586259,2.2,1.04,0.04242641
421,30.614096,3.7913294,2.4444444,1.0999999,0.038327668
422,30.644487,3.9324298,2.4444444,1.2074075,0.051172797
423,30.33354,4.6147346,2.5,1.2541667,0.043118626
424,32.709633,7.9141135,2.625,1.2791666,0.0971248
425,32.90691,8.454457,2.625,1.3291667,0.07847397
426,35.24685,14.120186,2.857143,1.442857,0.15702805
427,33.315224,10.32809,2.857143,1.387619,0.08613526
428,31.37926,6.3969865,2.7142856,1.3952382,0.080313906
429,26.999252,4.185103,2.5,1.438889,0.099786036
430,27.042242,4.3349895,2.5,1.3722223,0.07491825
431,29.187172,6.07567,2.6666667,1.4277779,0.13157402
432,27.110975,4.505053,2.5,1.4277778,0.1392659
433,26.908068,4.5223637,2.5,1.3222222,0.08796529
434,26.950178,4.4601655,2.5,1.3222222,0.08796529
435,27.150824,4.432263,2.5,1.3222222,0.08796529
436,27.537775,4.3656387,2.5,1.2555555,0.15463196
437,28.685648,4.74324,2.6666667,1.3333334,0.103678785
438,30.517649,7.0706825,3,1.5066667,0.15454814
439,30.5977,5.982594,2.8333333,1.4166666,0.15558513
440,42.427044,13.0906725,3.5,1.3722223,0.20467402
441,35.20248,8.859527,3.1666667,1.5333334,0.06567003
442,34.35383,9.275487,3.1666667,1.5222222,0.068041384
443,31.311705,6.3013635,2.857143,1.4619048,0.11099977
444,32.481567,9.025264,3,1.4752381,0.10080123
445,31.660421,9.240497,3,1.4942857,0.088011555
446,31.066393,9.474448,3,1.4942857,0.088011555
447,30.727026,9.561232,3,1.4942857,0.088011555
448,30.503376,9.5787115,3,1.4942857,0.088011555
449,30.435213,9.386877,3,1.4866667,0.09012245
450,25.513123,5.8356657,2.5555556,1.3481481,0.0849436
451,25.438368,5.7730665,2.5555556,1.4370371,0.058643527
452,25.94918,5.716404,2.5555556,1.4370371,0.058643527
453,26.35175,5.6487136,2.5555556,1.4370371,0.058643527
454,26.660303,5.718561,2.5555556,1.4370371,0.058643527
455,27.110817,5.619887,2.5555556,1.4222224,0.06911918
456,27.615288,5.5639734,2.5555556,1.3925927,0.0900705
457,28.133028,5.5411806,2.5555556,1.3925927,0.0900705
458,25.759438,4.58541,2.5,1.3666668,0.06597397
459,27.159014,4.170739,2.4444444,1.2814816,0.10308797
460,26.180956,2.5718553,2.3333333,1.3037038,0.104756564
461,26.453032,2.6652708,2.3333333,1.2444445,0.06285394
462,26.908617,2.7149534,2.3333333,1.2444445,0.06285394
463,26.094076,2.0766652,2.2222223,1.2222222,0.075871415
464,27.842335,3.2575788,2.3333333,1.2,0.03142697
465,27.243725,3.3390372,2.375,1.325,0.03535534
466,25.77622,2.0407667,2.25,1.3,0.050000004
467,25.787888,1.922717,2.25,1.25,0
468,25.788717,1.8475556,2.25,1.25,0
469,27.62228,3.9622495,2.375,1.2833333,0.044487827
470,28.489223,3.4516487,2.3333333,1.2148149,0.071661
471,28.5389,3.4416661,2.3333333,1.1851852,0.026189135
472,28.729021,3.4505122,2.3333333,1.1444443,0.042538084
473,28.332447,3.8517709,2.375,1.1624999,0.047855344
474,29.872889,5.483486,2.5714285,1.1952381,0.06816053
475,29.947575,5.337705,2.5714285,1.2714285,0.09509792
476,30.05524,5.274556,2.5714285,1.3095238,0.081629224
477,30.463856,4.49681,2.5,1.2375001,0.097855344
478,27.268557,3.0399125,2.3333333,1.1555555,0.03513642
479,26.69029,2.7833872,2.3333333,1.1888889,0.011111114
480,27.398296,5.4595704,2.5,1.2208333,0.024285119
481,26.531311,5.3568525,2.5,1.2875,0.047855344
