 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, StdDev Mean Cluster Size, Mean SD Est, StdDev Mean SD Est, Mean acutal density
226,25.978611,4.750887,2.4444444,Stddev_mean_size,1.1981481,0.11014603,0.100029714
227,28.641754,6.0549765,2.5555556,Stddev_mean_size,1.174074,0.1447712,0.09699781
228,29.666128,4.842909,2.5555556,Stddev_mean_size,1.1533334,0.10696379,0.09663001
229,28.985401,5.4382324,2.625,Stddev_mean_size,1.1800001,0.11584936,0.1078114
230,28.83902,5.4979196,2.625,Stddev_mean_size,1.2508333,0.08638657,0.104877144
231,28.139723,6.3965383,2.7142856,Stddev_mean_size,1.2914286,0.09199316,0.07829531
232,28.539059,6.5657887,2.7142856,Stddev_mean_size,1.2914286,0.09199316,0.09897544
233,29.48308,6.8216057,2.7142856,Stddev_mean_size,1.2914286,0.09199316,0.13399735
234,30.327902,7.2727532,2.7142856,Stddev_mean_size,1.2914286,0.09199316,0.19444604
235,39.640717,11.950289,3.4,Stddev_mean_size,1.448,0.13915467,0.37559417
236,40.81463,12.596756,3.4,Stddev_mean_size,1.336,0.2010123,0.39290866
237,41.491875,12.657157,3.4,Stddev_mean_size,1.336,0.2010123,0.8764936
238,42.722286,13.348427,3.4,Stddev_mean_size,1.336,0.2010123,1.6542927
239,43.546604,13.221974,3.4,Stddev_mean_size,1.338,0.22346227,0.062311154
240,34.80191,7.363691,2.8333333,Stddev_mean_size,1.2997222,0.18407337,2.32417
241,35.22582,7.5654063,2.8333333,Stddev_mean_size,1.2872223,0.13880141,13.433309
242,35.760765,9.319046,3,Stddev_mean_size,1.3446667,0.1665617,14.709089
243,32.01599,10.5547905,3,Stddev_mean_size,1.4145833,0.21209049,17.775446
244,32.44646,6.9549794,2.6666667,Stddev_mean_size,1.2388889,0.17028318,2.514095
245,31.960405,6.90428,2.6666667,Stddev_mean_size,1.2722222,0.13694984,1.3005751
246,35.23737,9.349457,3,Stddev_mean_size,1.3388888,0.20863588,0.9435982
247,34.955223,6.959862,2.75,Stddev_mean_size,1.1999999,0.17745192,0.55113983
248,34.391216,6.880924,2.75,Stddev_mean_size,1.225,0.15245192,0.4568409
249,33.83562,6.785452,2.75,Stddev_mean_size,1.225,0.15245192,0.37317747
250,33.467613,6.677994,2.75,Stddev_mean_size,1.225,0.15245192,0.31515458
