 Time Step, Mean Dist, StdDev Mean Dist, Mean Cluster Size, Mean SD Est, StdDev Mean SD Est,
329,26.974482,3.3350701,2.5714285,1.220238,0.087243184,
330,28.641193,4.9374056,2.7142856,1.3759921,0.095554575,
331,33.00262,7.328237,3.1666667,1.4675926,0.0989547,
332,30.038254,6.2197833,3,1.5439816,0.106707685,
333,29.80397,6.4784775,3,1.5509259,0.10768243,
334,42.113075,13.515808,3.8,1.6588888,0.25903082,
335,41.94831,13.796179,3.8,1.6877778,0.27557856,
336,41.737747,13.986704,3.8,1.6877778,0.27557856,
337,39.122417,11.598951,3.6,1.6544443,0.2284381,
338,39.0388,12.146455,3.6,1.572963,0.2310653,
339,39.18425,12.7706375,3.6,1.4229629,0.301776,
340,39.34292,13.212939,3.6,1.4062963,0.27820575,
341,35.546444,11.61022,3.4,1.4229629,0.2682964,
342,30.846928,7.2838135,3,1.5211111,0.12699695,
343,31.357365,7.4092703,3,1.4988889,0.10477471,
344,31.860373,7.415854,3,1.5600001,0.118464194,
345,31.718063,9.232694,3.25,1.7416667,0.12402397,
346,35.671665,10.883949,3.5,1.6354166,0.32127064,
347,35.86274,8.603434,3.2,1.5350001,0.27215675,
348,32.444332,5.459648,3,1.6194445,0.14983596,
349,32.08919,5.0455866,3,1.636111,0.13763188,
350,31.051674,5.685617,3.25,1.7951388,0.17203985,
351,32.992607,7.1163907,3.5,1.7170138,0.35659426,
352,32.825127,6.8149786,3.5,1.7170138,0.35659426,
353,32.19201,6.6822433,3.5,1.8196294,0.2026739,
354,28.930733,7.5561085,3.25,1.6792824,0.14682136,
355,28.46178,7.430075,3.25,1.8887037,0.04910639,
356,29.494167,5.877118,3,1.7665186,0.01592299,
357,29.108074,5.626861,3,1.6165186,0.08663367,
358,28.797308,5.425884,3,1.5998518,0.063063435,
359,28.558573,5.2723083,3,1.6496575,0.05954374,
360,28.477558,5.161855,3,1.7892408,0.035616122,
361,28.411371,5.2555532,3,1.7872036,0.06506388,
362,31.150629,5.579615,3,1.6297607,0.042720053,
363,30.983383,5.497353,3,1.6575384,0.082003765,
